Question,Answer
What is 'Reconstruction Loss' in the context of an SAE?,The mathematical difference between the original model activation and the vector produced after passing through the SAE's encoder and decoder.
True or False: Continuous Evaluation entirely replaces the need for Offline Experimentation in agent development.,False; Offline experimentation is still vital for identifying early patterns and trends before automating the check process.
How does the 'Agent Development Kit' (ADK) assist in making agents accessible to other software?,"By exposing the agent as a service via an API, allowing other agents or legacy systems to integrate with it."
"In the modular addition study, what happens to the training loss vs. test loss prior to the 'Grokking' phase?","There is a significant gap where training loss is low but test loss remains high, indicating the model has not yet generalized."
Why is 'Ground Truth Data' essential for deterministic agent evaluation?,"It provides the 'correct' expected output (e.g., the right tool to call) against which the agent's actual response can be mathematically compared."
What does 'Sparsity' mean in the context of an activation vector?,"A state where the vast majority of the vector's elements are zero, with only a few non-zero 'active' values."
Define 'Trajector Recall' as an evaluation metric.,The percentage of required tool calls or steps the agent successfully included in its execution path compared to the ground-truth.
What is the specific risk of 'Black Box' multi-agent systems in production research environments?,A lack of traceability makes it impossible to know why an agent made a specific decision or if its reasoning was grounded in fact.
"In the interpretability demo, what was the hypothesized reason for a feature activating on 'Entropy', 'Enthalpy', and 'Gibbs'?",The feature was representing the specific scientific concept of 'energy'.
"What happens to the activations of a Sparse Autoencoder when the input text is unrelated to any of its learned features (e.g., 'Lorem Ipsum')?","The activation vector should ideally remain entirely at or near zero, indicating no interpretable features were triggered."
How does the 'Agent-to-Agent' protocol facilitate complex task completion?,It enables standardized communication between agents so they can hand off tasks or request information from specialized peers.
Why does the source emphasize that future software users 'won't be humans anymore only'?,Because agents will need to autonomously reach out and integrate with other software to automate complex cross-platform tasks.
Concept: $L_1$ Penalty,"Definition: A regularization term added to the loss function to minimize the number of active features, calculated as $\lambda \sum |f_i|$."
Why is the activation value of an SAE feature multiplied by the 'decoder weights' during reconstruction?,To project the interpretable feature back into the original activation space of the language model.
"In the context of the Cloud Shell Editor used in the lab, what is its primary benefit for developers?",It provides a pre-configured instance of VS Code running directly in the cloud with access to GCP tools.
What does the 'Mean Metric Threshold' determine in an automated evaluation script?,The minimum average score an agent must achieve across the entire test dataset to be considered for production deployment.
"In mechanistic interpretability, what does it mean to 'ablate' a neuron?",To zero out its activation to see how its absence affects the model's overall performance or reasoning.
What is the 'Metric Threshold' for 'Researcher Agent' hallucination checks in the provided lab setup?,A programmatic value used to decide if an agent's reasoning matches the ground truth closely enough to avoid a 'failed' evaluation status.
What core problem in deep learning does 'Mechanistic Interpretability' attempt to solve?,The problem of neural networks functioning as 'black boxes' where internal reasoning is opaque to humans.
How does a 'Code-based Grader' identify a 'Failed' agent trajectory?,By comparing the sequence of tool names in the agent's output against the sequence defined in the Ground Truth JSON file.
"In the context of SAEs, what does 'L0' represent?","The count of non-zero elements in a sparse vector, used as a measure of how 'sparse' the representation actually is."
Why is 'Instruction Tuning' ($IT$) necessary for creating helpful chatbots like Gemma-IT?,It trains the pre-trained model to follow user commands and structure responses as an assistant rather than just completing text.
What is the purpose of the `evaluate_agent` function in the ADK framework?,It performs parallel inference and calculates specific performance metrics for an agent running at a designated URL.
What is 'Singular Value Decomposition' ($SVD$) in the context of model compression like LoRA?,"A matrix decomposition technique used to represent a large weight matrix in a lower-dimensional, more efficient vector space."
